id_fecha,fecha,anio,mes,nombre_mes,trimestre,dia
20260717,2026-07-17,2026,7,julio,3,17
20260718,2026-07-18,2026,7,julio,3,18
20260723,2026-07-23,2026,7,julio,3,23
-1,,,,sin fecha,,
